country,year,pollutantName,value,Population,GDP_USD,gdp_per_capita
Germany,2013,SOx,405.94362049,80645605.0,3808086291482.364,47220.010209885135
Germany,2014,NOx,1626.67635391,80982500.0,3965800686309.79,48971.082472259935
Germany,2014,SOx,381.00170233,80982500.0,3965800686309.79,48971.082472259935
Germany,2015,NOx,1609.07091728,81686611.0,3423568450957.0293,41911.01098510537
Germany,2015,SOx,351.54382698,81686611.0,3423568450957.0293,41911.01098510537
Germany,2016,NOx,1627.37543498,82348669.0,3537784107980.553,42961.035690577504
Germany,2016,SOx,327.97710356,82348669.0,3537784107980.553,42961.035690577504
Germany,2017,NOx,1530.40336273,82657002.0,3763092263752.948,45526.599957653285
Germany,2017,SOx,318.68958727,82657002.0,3763092263752.948,45526.599957653285
Germany,2018,NOx,1433.37821379,82905782.0,4052008447223.5264,48874.85950284536
Germany,2018,SOx,304.0750118,82905782.0,4052008447223.5264,48874.85950284536
Germany,2019,NOx,1321.14616733,83092962.0,3957208055215.68,47623.86560748285
Germany,2019,SOx,267.66688977,83092962.0,3957208055215.68,47623.86560748285
Germany,2020,NOx,1112.20609809,83160871.0,3940142541354.0967,47379.76519454801
Germany,2020,SOx,244.85161068,83160871.0,3940142541354.0967,47379.76519454801
Germany,2021,NOx,1118.04184193,83196078.0,4348297440387.527,52265.65416205709
Germany,2021,SOx,255.83056444000002,83196078.0,4348297440387.527,52265.65416205709
Germany,2022,NOx,1131.02996636,83797985.0,4163596357879.3936,49686.11545825826
Germany,2022,SOx,255.66484947,83797985.0,4163596357879.3936,49686.11545825826
Germany,2023,NOx,1043.73614005,83901923.0,4525703903627.531,53940.40734474621
Germany,2023,SOx,225.92586083,83901923.0,4525703903627.531,53940.40734474621
Greece,1990,NOx,601.050823107,10196792.0,96529587274.29063,9466.662385021744
Greece,1990,SOx,667.2312021324,10196792.0,96529587274.29063,9466.662385021744
Greece,1991,NOx,584.644858307,10319927.0,103680863712.84352,10046.666387547462
Greece,1991,SOx,646.5998695604999,10319927.0,103680863712.84352,10046.666387547462
Greece,1992,NOx,618.818790674,10399061.0,114608178405.4344,11021.012224607048
Greece,1992,SOx,679.5063908245,10399061.0,114608178405.4344,11021.012224607048
Greece,1993,NOx,642.0256417960001,10460415.0,107295704518.43044,10257.308578907285
Greece,1993,SOx,698.7826517540001,10460415.0,107295704518.43044,10257.308578907285
Greece,1994,NOx,663.832865756,10512922.0,114980063202.2472,10937.022380861115
Greece,1994,SOx,725.426928145,10512922.0,114980063202.2472,10937.022380861115
Greece,1995,NOx,667.50604954,10562153.0,134974613913.81088,12779.081491606008
Greece,1995,SOx,726.872005164,10562153.0,134974613913.81088,12779.081491606008
